,Date of Creation,Content,hashtags,User
1339,2023-04-09 23:07:51+00:00,"#うひーメモ
投稿時間:2023-04-10 08:07:51
Liverpool 2-2 Arsenal: Reds must keep on thinking they&amp;#x27;ve got nothing to lose - Stephen Warnock
https://t.co/RB8Lz1mR42
#ニュース","['うひーメモ', 'ニュース']",uhiiman
1340,2023-04-09 23:07:48+00:00,@DalglishPaul I remember the cup final in 2001. Liverpool and Arsenal fans mixing around the ground. No problems. I’ve always remembered that. Today was not a surprise but was very welcome.,N/A,UniversalEvent
1341,2023-04-09 23:07:48+00:00,@PoojaMedia @CFCMod_ I mean anyone with eyes knows that was a lucky 1 point for arsenal,N/A,DylanLFC_
1342,2023-04-09 23:07:42+00:00,@premierleague More like “Arsenal topping the league with a six point gap”,N/A,emartfrancis
1343,2023-04-09 23:07:38+00:00,"@murshad_levi I only saw the extra time action and this guy literally saved your behind (I assume arsenal supporter). Kya save kia tha Salah ka volley, another chance by Nunez.",N/A,ahmedalitweets
1344,2023-04-09 23:07:36+00:00,@Arum_AFC @AFCFrediNho_ @TheAnfieldTalk @ben6white Not as good as arsenal at coming 2nd in the cl,N/A,tareLFC
1345,2023-04-09 23:07:30+00:00,@frimmponng @gyaigyimii Sometimes he dey fool too much just let Arsenal win the thing err😂😂,N/A,Johnny_wrld
1346,2023-04-09 23:07:26+00:00,@J_W_ke @MillicentOmanga Arsenal is still a small team which can't win the EPL even after dropping early in all cup competition to focus on the EPL 🤣🤣🤣 #Cupless,['Cupless'],GeorgeB74515018
1347,2023-04-09 23:07:25+00:00,Arsenal blow 2-0 lead against Liverpool after Granit Xhaka angers Anfield https://t.co/NhoZUCZPLG,N/A,BonesW6
1348,2023-04-09 23:07:24+00:00,"@Arsenal Mike's decision is sometimes worrying, look at the subs he was making, pathetic, why play Zinchenko in a high tensed match like that, he doesn't defend, look back at Villa he almost cost us the match.",N/A,Lionsim52655425
1349,2023-04-09 23:07:22+00:00,"@afcstuff If arsenal scored on that action, I guess that we would not see all this critics about arteta tactic and subs. For me, it was ""a trap"" to make liverpool attack more so the pace of our strikers would kill them. Unfortunately it didn't work",N/A,KhoniDjake
1350,2023-04-09 23:07:21+00:00,@Arsenal Tierney was supposed to come one. I'm pissed that we tried defending for a whole 45mins.,N/A,NwaNnachi1
1351,2023-04-09 23:07:20+00:00,Even with Xhaxa being in the form of his life &amp; being one of our best players the past two season Arsenal fans still try to pick pocket any minor thing he does wrong . talking about he woke up the crowd ?!! were they in a coma ??! r they lions?!! gerrr outta ere man,N/A,DonFalcone_19
1352,2023-04-09 23:07:16+00:00,Liverpool fans buzzin &amp; Arsenal fans disappointed. Shows you the expectations &amp; standards of the 2 clubs at the moment,N/A,XxREVIxX
1353,2023-04-09 23:07:15+00:00,Yea thats how much I beef with arsenal,N/A,sirwesbank
1354,2023-04-09 23:07:13+00:00,"A draw at Anfield is a good point. Media now saying it’s Man City’s to lose as if we are destined to lose that game at City… why?

There is everything about this team that says we can go to Etihad and get points. The resilience is unreal. The team is mentally strong. @arsenal…",N/A,ThePuntFactory
1355,2023-04-09 23:07:12+00:00,"@afcstuff Season 7 and still the master of disaster at Arsenal, Granit Fecking Xhaka. Talks a good games plays like dugsh1t",N/A,StudentGrant1
1356,2023-04-09 23:07:12+00:00,@Specsavers @SkySportsPL Specsavers want arsenal to fail? What’s going on?? Lol it’s literally arsenal against everyone,N/A,DmitriDesgoffe
1357,2023-04-09 23:07:09+00:00,"I don’t celebrate goals, only after the game. When Arsenal scored those two goals I was just looking like nothing happen but when Martinelli passed that ball to Saka I screamed like a Bitch because we could’ve went 2-3 up luckily no one saw but they must’ve heard 😁#LIVARS",['LIVARS'],MZI_10_
