,Date of Creation,Content,hashtags,User
826,2023-03-19 23:13:28+00:00,"if Arsenal wins the league, it would legit feel like Zinny's first title, because even tho he won 4 with city, it's here in Arsenal that he'll really feel like he was part of the process integrally.",N/A,willthewave
827,2023-03-19 23:13:24+00:00,"The only war we used to have was Ronaldo Vs Messi , Chelsea Vs Man United

Everything has changed even Arsenal are feeling fly now 

Real times bro 💔",N/A,GreatCheda
828,2023-03-19 23:13:24+00:00,"@Tyzza @bhavss14 So everyone didn't fail this season..... imagine Arsenal 8 pts ahead of City, where is Liverpool, Chelsea???",N/A,enigmaeleven11
829,2023-03-19 23:13:23+00:00,@_MoyaUtd Arsenal hater ?,N/A,1don_sheridon
830,2023-03-19 23:13:18+00:00,@AjayiSa06288118 @SomaCollinss @AfamDeluxo Then you're new on Twitter. Na old story shaa. No be today the matter trend here on Twitter.,N/A,NonnyCeeto
831,2023-03-19 23:13:17+00:00,@MarcFUTTrader Pretty sure he’s retired. He’s been coaching one of the youth teams at Arsenal recently.,N/A,SimonSaidItBest
832,2023-03-19 23:13:17+00:00,Thank you @Arsenal ☺️❤️,N/A,PureTarHeel
833,2023-03-19 23:13:17+00:00,@AFCImma @FrankKhalidUK I still wouldn't take him at Arsenal. Dodged a bullet here. Lad spends too much time on TikTok and Insta.,N/A,WigglesJust
834,2023-03-19 23:13:05+00:00,"@BenjaminCeej123 @Arsenal You can see the effect on saliva and Tomiyasu. Did you want Partey to be injured too. Damn! Those sporting are roughing that game. It’s better we save our best players for the league. I’m happy he didn’t start saka, Partey, odegard, white, etc 
We actually need to focus",N/A,temitope_emiola
835,2023-03-19 23:13:01+00:00,"Arsenal fans still 10 games
Still Chelsea home Liverpool City Newcastle away #COYG https://t.co/aXZbWCraCX",['COYG'],minahane
836,2023-03-19 23:12:55+00:00,@daraobriain Sad that Arsenal don't pay him enough so he has to take two jobs.,N/A,MickMcCarthy92
837,2023-03-19 23:12:54+00:00,"@ProjectLincoln Beside high morale ground, what does that get us. Nothing happens as long as his arsenal of nukes are at his fingertips.",N/A,jmurphys
838,2023-03-19 23:12:46+00:00,"@SDixon_5 Vieira's available! 

""He Comes From Senegal,
He Plays For Arsenal
VIEIRA!!!..""",N/A,adamreynolds28
839,2023-03-19 23:12:36+00:00,Come back to Arsenal,N/A,chuchvans
840,2023-03-19 23:12:35+00:00,@Michael_8631 @WigglesJust @Corballyred Bro you can't be coming to the argument with a screenshot from twitter to prove your point 😭😭 anyone that has even heard of the game football knows that Liverpool are a lot bigger than Arsenal. The fact that the biggest game in English football is man u vs liverpool says it all,N/A,Skrillahhh
841,2023-03-19 23:12:34+00:00,"@Karri_Kemyst See, it's fun to be a Rayadas fan. 😀",N/A,ArsenalisOK1
842,2023-03-19 23:12:29+00:00,@FPLMattW when you check the Arsenal score as Saka captainer &amp; Gooner https://t.co/NgvMKy2ZGp,N/A,mike_jeski
843,2023-03-19 23:12:20+00:00,Lord. This team making me happy. It's been a while. I'm enjoying it while it lasts. #goonerlife #arsenal,"['goonerlife', 'arsenal']",brewy_chris
844,2023-03-19 23:12:20+00:00,"@MrNeu_ @GoonerTaIk We have advantage they will play at City, midweek at Chelsea, then us.

Arsenal only Leeds and a week later Liverpool, that should help us a little bit.",N/A,ardyn85
845,2023-03-19 23:12:17+00:00,I #VoteQuioto for @MLS Player of the Matchday!,['VoteQuioto'],Alex_Gougeon
846,2023-03-19 23:12:07+00:00,Coming back home from every Arsenal match absolutely drained of all energy &gt;&gt;&gt;,N/A,rafsenal
847,2023-03-19 23:12:03+00:00,@goal Why is Kim everytime she travels to watch her idol they always loss on Thursday she went to watch Arsenal they lost to Sporting,N/A,AkusinachiG
848,2023-03-19 23:11:59+00:00,"@Anna_Soubry I'm not sure why everyone hits on Rwanda. Both Premier League Arsenal and Paris St Germain had sponsorship deals with the Rwandan Government back in 2018/19 and more recently.
Put in place to promote tourism to Rwanda in European countries. No fuss about nasty Rwanda back then?",N/A,Bru1g
849,2023-03-19 23:11:34+00:00,"Are people seriously questioning Holding today? If so get a fucking grip! Thought he had a really good game, passed exceptionally and is a back up. Wtf? @arsenal #afc #GoonerFamily","['afc', 'GoonerFamily']",TherealJontaM
850,2023-03-19 23:11:30+00:00,"@welbeast11 we are doing great lets continue to improve,we are Arsenal FC✊✊✊✊✊",N/A,Jalialia
851,2023-03-19 23:11:28+00:00,"@gunnerblog @gabimartinelli @Arsenal Obviously it'd be great if at the end of the season, we could say: There is a player who signed a new long-term contract with Arsenal and then scored 16 goals during the club's next 16 league games.",N/A,SebJude
852,2023-03-19 23:11:27+00:00,"The more you watch Arsenal, the more you can't really deny them this title. They are a fantastic side.",N/A,craiglcfc
853,2023-03-19 23:11:27+00:00,@W_Bellew Yeah he was bad can't remember the team we played I think it was Arsenal he was getting skinned and falling over like you say and he faked an injury he was indicating to the bench to be subbed and they were shrugging their shoulders saying there's nothing wrong with you 😂🤣,N/A,wakeupwestham
854,2023-03-19 23:11:26+00:00,Proper feel good comp 😜,N/A,AlwaysMyArsenal
855,2023-03-19 23:11:24+00:00,"@jan35y @afcstuff @clockend_george @Arsenal Arsenal have given them their own block, they decide who gets in, you have to sing for 90mins +, if you don't you are out. you can see and hear them all game. Josh loves it and so does Arteta. They have the backing of Arsenal, a police escort into the ground. it's just Brilliant",N/A,GoldenGoonerlg
856,2023-03-19 23:11:22+00:00,@GaryGwilliam1 @jasonmohammad @Arsenal @CPFC Not really,N/A,Ian4cricket1
857,2023-03-19 23:11:22+00:00,@UTDTrey The dogs left the small cup for u like arsenal did for sporting cp. Small club mentality trophy,N/A,K1Jovan
858,2023-03-19 23:11:22+00:00,@gooner_south Better than Cannavarooooo,N/A,TheArsenal920
859,2023-03-19 23:11:20+00:00,@mbasco_ @amani58_ Arsenal?,N/A,delaatste11
860,2023-03-19 23:11:18+00:00,@Arsenal @BukayoSaka87 Exquisite! After Thursday's slight setback. It felt like a setup for a comeback. Good job.,N/A,AndrewSikapizye
861,2023-03-19 23:11:17+00:00,@DodNazister @jvbernard @jeremycorbyn Thats why you’re such a weak man trying to deflect attention away from Pakistani jihad rape gangs because you don’t have kids so you don’t care that white women are being raped on masse. Pathetic excuse for a man,N/A,Arsenal_Aaron
862,2023-03-19 23:11:17+00:00,New manager bounce against Arsenal,N/A,MarvinRoosevel9
863,2023-03-19 23:11:11+00:00,"Rival fans will try everything to discredit us.

The Premier League season is the most competitive we have seen it in a long time, this might even be the most competitive League ever. 

This Arsenal team is on its way to becoming one of the best oat…",N/A,WiloDouzinhoo
864,2023-03-19 23:11:08+00:00,Joe knows we're winning the League @Arsenal #PremierLeague #saka #martinelli,"['PremierLeague', 'saka', 'martinelli']",Sigmund09979337
865,2023-03-19 23:11:07+00:00,@fkeyamo @inecnigeria Go to court Oga 😂,N/A,manlikesos14
866,2023-03-19 23:11:04+00:00,@jamanoor04 @ESPNFC Arsenal will beat city at etihad,N/A,brianamaechi
867,2023-03-19 23:11:01+00:00,"Arsenal 4-1 Crystal Palace | Troopz PLAYER RATINGS | BEN WHITE &amp; ROB HOLDING WERE SUPERB!!

https://t.co/vhIbpIoe7F via @YouTube",N/A,backagain
868,2023-03-19 23:10:59+00:00,Sannu fa hardluck. The Arsenal you underrate will beat this Barcelona,N/A,aliyu_figo
869,2023-03-19 23:10:59+00:00,"@BAUM75000 @FCBarcelona I can’t be oppressed by how many champions league or league title you have, you can go tell that to arsenal or psg who hasn’t won the champions league. In the books of Uefa I’m also a champion ❤️✌🏽",N/A,_iSaint
870,2023-03-19 23:10:58+00:00,"@premierleague omg, I do not like Arsenal, but I really hope they stay ahead of City!!",N/A,mazza_shad
871,2023-03-19 23:10:53+00:00,"@AdediOtun @NwoguJose1 @Psalmopet @Arsenal @premierleague likee.. that's why I don't blame him for that goncalves goal
take nothing from the finish 🔥",N/A,thatdivgeek
872,2023-03-19 23:10:52+00:00,"@markgoldbridge There’s no way ur saying it’s rigged. This year city have gotten Chelsea in the English cup and Bayern in the cl and then we arsenal in the fa cup, what r u fkn crying about.",N/A,sirPEP_
873,2023-03-19 23:10:47+00:00,"Selected top-flight European league leaders:

🇮🇹 Napoli (+19 points)
🇪🇸 Barcelona (+12 points)
🇵🇹 Benfica (+10 points)
🏴󠁧󠁢󠁥󠁮󠁧󠁿 Arsenal (+8 points)
🇫🇷 PSG (+7 points)
🇳🇱 Feyenoord (+6 points)
🇹🇷 Galatasaray (+6 points)
🇩🇪 Dortmund (+1 point)

How many will win the title? 🏆",N/A,Hanymo24
874,2023-03-19 23:10:42+00:00,@Stefmcfc @brodemonz99 @GaryLineker @BukayoSaka87 @Arsenal @theofficialfwa Look. This is a pointless conversation. You’re only going to say Haaland because he plays for your team. You absolutely wouldn’t be saying that if he played for anyone else. The top goal scorer is not necessarily the best player. End of conversation.,N/A,cpives2008
875,2023-03-19 23:10:41+00:00,@MSH446 @NatDresner @AST_arsenal This 👏🏿,N/A,Moegli84
876,2023-03-19 23:10:37+00:00,@Arsenal dont fuck it up,N/A,PeterBanner1
877,2023-03-19 23:10:29+00:00,I #VoteAlmada for @MLS Player of the Matchday!,['VoteAlmada'],mcoleman290
878,2023-03-19 23:10:28+00:00,"Arsenal 4-1 Crystal Palace | Troopz PLAYER RATINGS | BEN WHITE &amp; ROB HOLDING WERE SUPERB!!

https://t.co/zUEY1DYlsp via @YouTube",N/A,TroopzAFC
879,2023-03-19 23:10:26+00:00,@xRippleXRP @Arsenal Love it,N/A,Sam_North_07
880,2023-03-19 23:10:25+00:00,McCarthy clearly thought that he had to come out in support of Trump at this stage. And he’s not above using his role as leader of the House as a weapon in his arsenal.,N/A,hateGOP
881,2023-03-19 23:10:22+00:00,@eurofootcom Can she be at Old Trafford when ManU play Sevilla??🤲🏽,N/A,KingLouizy
882,2023-03-19 23:10:14+00:00,"@afcjxmes Ah fair, always looking with the Arsenal specs on my bad haha 1v1 demon clearly.",N/A,v_concordia_c
883,2023-03-19 23:10:06+00:00,@GazzaArsenal @LiAmTheEggman @AST_arsenal @10akhil Ffs. Always me! 🤣,N/A,NW2JayP
884,2023-03-19 23:10:06+00:00,@iamsexyjoe @Arsenal I dey always enjoy your vibe on @Arsenal wins 💪🔥🤗,N/A,OlawaleGbolaha4
885,2023-03-19 23:10:05+00:00,Jokic triple-double leads Nuggets to 108-102 win over Nets – NBA News https://t.co/zxeJ6jmoBi,N/A,sportsnews2022
886,2023-03-19 23:10:05+00:00,One of the worst Hattricks scores for Arsenal 🤣🤣😂,N/A,Roblovemeandyou
887,2023-03-19 23:10:04+00:00,"Vassell, Johnson spoil Murray's return as Spurs top Hawks – NBA News https://t.co/K2blh7bbke",N/A,sportsnews2022
888,2023-03-19 23:10:02+00:00,Warriors on the Brink of Tying the Bulls' Historic Road Losing Streak by a Defending Champion – NBA News https://t.co/cicVXyzh68,N/A,sportsnews2022
889,2023-03-19 23:10:00+00:00,"A few weeks off for Arsenal 🗣️
#afc 
https://t.co/ovO0QqRLbI",['afc'],ArsenalFC_fl
890,2023-03-19 23:09:57+00:00,"@HarryAFC24 @cmbftbl I'm not sure BNC will make it at Arsenal tbh. 
Hope a decent loan move next season and then I imagine a sale will follow.",N/A,and_got
891,2023-03-19 23:09:52+00:00,"Bukayo Saka: 

""I love playing for Arsenal. I love playing at (Emirates) Stadium. 

Only the people that have put the shirt on and played in front of these fans will understand what it means."" [BBC MOTD]",N/A,Hanymo24
892,2023-03-19 23:09:45+00:00,I #VoteKlauss for @MLS Player of the Matchday!,['VoteKlauss'],ILLMCoke
893,2023-03-19 23:09:44+00:00,Bayern are very petty Arsenal and Barcelona are topping their leagues and are likely to win them so they want to get 2nd place so they can play one of them in the group stages 😂😂 https://t.co/MBEnvYXrV6,N/A,Zvinahr_jordan
894,2023-03-19 23:09:43+00:00,Fcuking love Martin Keown #Arsenal #legend,"['Arsenal', 'legend']",redarse1886
895,2023-03-19 23:09:37+00:00,"@WelBeast This is not what we push PR for, how many goals does your boy have in all competitions? The urge of Arsenal fans to compare their players with Man Utd players..... Eish....",N/A,LamiJ_
896,2023-03-19 23:09:29+00:00,"Also, as KCG continues to expand watch party options for Arsenal Women’s matches, we would like to thank (a non-exhaustive list) @kendrathebeav @mollyvision @DJBfromKC @wardamnmegs @WWSwagger @Eric_Bens and @theredcurrant for always showing up and pushing for more opportunities.",N/A,KCGooners
897,2023-03-19 23:09:27+00:00,@sportbible Mirtoviccc should have been a yellow card but Willian deserved the red card though,N/A,EmirateArsenal1
898,2023-03-19 23:09:27+00:00,"Today I asked my colleagues if they could tell me the principal colour of each PL team. Their results:

Bournemouth: red
Arsenal: red
Villa: blue
Brentford: black
Brighton: yellow
Chelsea: blue
Palace: white
Everton: blue
Fulham: yellow
Leicester: yellow
Leeds: purple
L’pool: red",N/A,TomDrawsThings
899,2023-03-19 23:09:23+00:00,Saka stars as rampant Arsenal move eight points clear - Capital Sports - https://t.co/q1E2ub8Cp9,N/A,NairobiTimes_Ke
900,2023-03-19 23:09:20+00:00,"@brfootball Bla bla bla curse, you are speaking rubbish when you are suppose to be discussing about football. You are the one that is cursed because this is not the first time that arsenal or psg will lose this season",N/A,Beejay_Trendy
901,2023-03-19 23:09:19+00:00,"@9LARCK Why bring up Arsenal when the topic is about El Clasico? Football guru 🤡

Clearly you've agreed that you're dogs to Barcelona no cap 🧢

Cry elsewhere 🤡🤣🤣",N/A,SonOfMargret
902,2023-03-19 23:09:18+00:00,"Saka &amp; Martinelli Chant:

Oh, oh, oh oh, oh ohhhh, 
We’ve got the best young wingers in the world 
An Englishman and Brazilian 
Only cost us six million,
They are truly one of our own

(let’s get this ringing down on the emirates in 3 weeks time)

#arsenal #afc #Martinelli #Saka https://t.co/EQ4ddmqtVz","['arsenal', 'afc', 'Martinelli', 'Saka']",JohnFC099
903,2023-03-19 23:09:06+00:00,This team is breaking records! We are the Arsenal @mamakaCleo,N/A,nokkiegwebu
904,2023-03-19 23:09:05+00:00,Arsenal have 2 world class players only n that’s Ø and Saka 🙅🏽‍♂️,N/A,11RJayy
905,2023-03-19 23:08:59+00:00,@FPLHints Bravo buddy! Had proper stinker in the first half of the season but going great guns now if the second chance league stands for anything…might hold my arsenal players for Leeds game after the break… DGW HYPE TRAIN I’m not so sure 😅 https://t.co/RoYIPMYG4C,N/A,Robbiebowkett86
906,2023-03-19 23:08:57+00:00,Hate watching Utd after an Arsenal win is the ultimate dopamine rush,N/A,HAftbl
907,2023-03-19 23:08:56+00:00,@LeoOkosun @Sugamite2 @Arsenal Same here …?,N/A,banjy_obs
908,2023-03-19 23:08:55+00:00,Good night fello gunners #arsenal https://t.co/c2yj9CbUKm,['arsenal'],simonhoss1149
909,2023-03-19 23:08:44+00:00,"Craving Eba and okro with 2 pieces of meaty turkey and stew rn, let me just go and sleep.",N/A,Bubble_minakie
910,2023-03-19 23:08:43+00:00,@1Walid1 The did a whole section on it on Match of the Day,N/A,arsenaljosh23
911,2023-03-19 23:08:42+00:00,@Jamietra1 @StevenLobel10 Man City will lose to Liverpool in their next match and arsenal will be 11 points clear with 9 games to go remember this tweet,N/A,MAXIMISED13
